msg_len,trials,avg_time,ci_95,capacity_bps
8,20,0.242462,0.019532,263.96
16,20,0.222935,0.013295,574.16
32,20,0.233931,0.013061,1094.34
64,20,0.466729,0.017062,1097.00
128,20,0.935707,0.024663,1094.36
256,20,1.871463,0.039767,1094.33
512,20,3.471792,0.053623,1179.79
1024,20,6.264210,0.115462,1307.75
